date_time;AHU 1 - Outlet;AHU 1 - Air On;AHU 1 - Inlet;AHU 1 - Inlet RH;AHU 1 Power;AHU 2 - Outlet;AHU 2 - Air On;AHU 2 - Inlet;AHU 2 - Inlet RH;AHU 2 Power;AHU 3 Outlet;AHU 3 Air On;AHU 3 Inlet;AHU 3 Inlet RH;AHU 3 Power;AHU 4 - Outlet;AHU 4 - Air On;AHU 4 - Inlet;AHU 4 Power;AHU 4 - Inlet RH
01/03/2014 00:15;12,03;15,16;22,85;27,85;4,17;10,86;11,92;26,3;22,05;3,61;20,25;25,27;25,27;25,53;20,56;19,96;20,07;20,07;0,17;33,48
01/03/2014 00:30;12,08;15,18;22,87;27,59;4,19;11,23;12,02;26,34;21,9;3,62;20,51;25,37;25,37;25,28;19,88;20,28;20,08;20,08;0,17;33,25
01/03/2014 00:45;12,17;15,29;22,75;27,87;4,17;12,85;13,49;26,16;22,11;3,54;20,27;25,24;25,24;25,42;21,07;19,93;20,05;20,05;0,17;33,29
01/03/2014 01:00;12;15,19;22,91;27,86;4,14;12,84;13,6;26,24;22,22;3,54;20,47;25,37;25,37;25,43;19,82;20,18;19,93;19,93;0,17;33,69
01/03/2014 01:15;12,01;15,29;22,85;28;4,14;12,95;13,79;26,45;21,92;3,55;20,35;25,28;25,28;25,62;21,07;19,84;19,88;19,88;0,17;33,86
01/03/2014 01:30;12,13;15,28;22,79;27,96;4,16;12,6;13,49;26,79;21,43;3,57;20,31;25,25;25,25;25,62;21,26;19,75;19,79;19,79;0,17;34
01/03/2014 01:45;12,03;15,3;22,68;27,78;4,17;13,06;13,71;26,61;21,45;3,56;20,42;25,21;25,21;25,41;19,88;19,89;19,71;19,71;0,17;33,85
01/03/2014 02:00;11,92;15,26;22,81;27,43;4,18;12,56;13,69;26,59;21,29;3,59;20,44;25,28;25,28;25,2;21,02;19,88;19,81;19,81;0,17;33,49
01/03/2014 02:15;11,89;15,25;22,77;27,64;4,19;12,85;13,62;26,77;21,17;3,57;20,39;25,21;25,21;25,37;20,67;19,83;19,72;19,72;0,17;33,77
01/03/2014 02:30;11,97;15,26;22,73;27,76;4,17;13,11;13,79;26,74;21,25;3,58;20,53;25,28;25,28;25,28;19,96;20,07;19,74;19,74;0,17;33,82
01/03/2014 02:45;12,07;15,31;22,85;27,69;4,16;12,93;13,8;26,83;21,19;3,62;20,22;25,25;25,25;25,4;22,31;19,73;19,8;19,8;0,17;33,7
01/03/2014 03:00;11,85;15,23;22,68;28,05;4,22;12,3;13,49;26,83;21,27;3,64;20,47;25,23;25,23;25,51;19,98;19,88;19,74;19,74;0,17;33,96
01/03/2014 03:15;12,13;15,31;22,73;28,04;4,2;13,07;13,73;26,88;21,33;3,59;20,53;25,32;25,32;25,44;20,06;20,05;19,79;19,79;0,17;33,99
01/03/2014 03:30;11,87;15,25;22,82;27,93;4,17;12,68;13,75;26,9;21,29;3,59;20,13;25,16;25,16;25,73;21,66;19,62;19,74;19,74;0,17;34,11
01/03/2014 03:45;12,07;15,31;22,75;28,04;4,15;12,51;13,51;27,03;21,13;3,55;20,2;25,14;25,14;25,73;20,52;19,63;19,66;19,66;0,17;34,24
01/03/2014 04:00;11,98;15,27;22,79;28;4,13;12,93;13,79;26,98;21,23;3,55;20,38;25,24;25,24;25,6;21,73;19,73;19,66;19,66;0,17;34,28
01/03/2014 04:15;12,15;15,33;22,82;27,89;4,11;12,45;13,63;26,85;21,32;3,56;20,33;25,09;25,09;25,77;19,96;19,66;19,61;19,61;0,17;34,28
01/03/2014 04:30;11,84;15,25;22,85;27,79;4,13;12,83;13,65;26,99;21,09;3,54;20,47;25,21;25,21;25,59;21,07;19,87;19,63;19,63;0,17;34,23
01/03/2014 04:45;12,08;15,33;22,75;28,09;4,09;12,91;13,78;26,96;21,16;3,54;20,51;25,24;25,24;25,61;20,56;19,86;19,73;19,73;0,17;34,15
01/03/2014 05:00;11,87;15,39;22,98;27,75;4,12;12,41;13,53;26,94;21,24;3,55;20,38;25,26;25,26;25,62;21,13;19,71;19,78;19,78;0,17;34,11
