date_time;Rack Inlet Temperature (C);Rack Inlets (Top) (C);Rack Outlet Temperature (C);ACU Supply Temperature (C);ACU Return Temperature (C);ACU Return Humidity (%);Room Temperature (C);Room PUE;Room DCiE (%);Total Room Power (kW);Room IT Power (kW);Room IT Power (AC) (kW);Room IT Power (DC) (kW);Room Infrastructure Power (kW);Room Cooling Power (kW);Room Non-Cooling Infrastructure (kW);Room COP;Room Cooling Load (kWc);Room Free Cooling (kWc);Room Mech Cooling (kWc);Est Room Heatload (kWc)
01/03/2014 00:00;25,8;25,8;27,4;16;23,6;27,3;23,4;1,28;78,1;127,8;99,7;59,9;39,8;28;28;0;4,17;189,2;112,2;77;115,7
01/03/2014 01:00;26;26;27,6;16,3;23,6;27,3;23,6;1,28;78,1;127,8;99,7;59,9;39,8;28,1;28,1;0;4,17;182,2;105,1;77,1;115,7
01/03/2014 02:00;26,2;26,2;27,6;16,3;23,6;27;23,8;1,29;78;128;99,7;59,9;39,8;28,2;28,2;0;4,16;183,7;105,9;77,8;115,7
01/03/2014 03:00;26,2;26,2;27,7;16,2;23,7;27,2;23,8;1,29;77,5;128,8;99,7;59,9;39,8;29;29;0;4,05;185,9;107,2;78,7;115,7
01/03/2014 04:00;26,3;26,3;27,7;16,2;23,7;27,3;23,9;1,31;76,8;130,1;99,8;60;39,8;29,6;28,7;0,8;4,1;184,8;105,9;78,9;115,8
01/03/2014 05:00;26,3;26,3;27,7;16,2;23,7;27,4;23,9;1,27;79;126,3;99,8;60;39,8;26,5;27,1;-0,7;4,29;186,7;107,5;79,2;115,8
01/03/2014 06:00;26,3;26,3;27,7;16,2;23,7;27,6;23,9;1,3;77,2;129,4;99,8;59,9;39,8;29,6;29,6;0;3,99;187,3;107,9;79,4;115,8
01/03/2014 07:00;26,3;26,3;27,7;16,2;23,7;27,6;24;1,29;77,3;129,3;99,8;60;39,8;29,4;29,4;0;4,01;188,5;109,1;79,4;115,8
01/03/2014 08:00;26,3;26,3;27,7;16,2;23,7;27,6;24;1,3;77,3;129,3;99,8;59,9;39,8;29,6;29,5;0;4;187,3;108,6;78,7;115,8
01/03/2014 09:00;26,4;26,4;27,7;16,2;23,8;28,1;24;1,3;77,2;129,4;99,8;59,9;39,8;29,6;29,6;0;3,99;187,9;110,2;77,7;115,8
01/03/2014 10:00;26,4;26,4;27,8;16,2;23,8;28,4;24;1,3;76,8;130,1;99,8;60;39,8;30,3;30,4;-0,1;3,89;188,6;111,1;77,5;115,8
01/03/2014 11:00;26,5;26,5;27,9;16,3;23,9;28;24,1;1,31;76,6;130,4;99,8;59,9;39,8;30,6;30,6;0;3,88;189,2;112,4;76,8;115,8
01/03/2014 12:00;26,5;26,5;28;16,3;24;27,1;24,2;1,3;77,1;129,7;99,8;60;39,9;30,6;30,5;0,1;3,88;190,8;114;76,8;115,8
01/03/2014 13:00;26,6;26,6;28;16,2;24,1;26,6;24,2;1,28;78,4;127,3;99,8;60;39,8;27,5;27,6;0;4,23;194,5;117,8;76,7;115,8
01/03/2014 14:00;26,4;26,4;27,9;16;24,1;25,7;24;1,29;77,4;129;99,8;59,9;39,8;29,2;29,3;-0,1;4,02;202,1;127,4;74,7;115,8
01/03/2014 15:00;26,3;26,3;27,8;15,9;24,2;25;23,9;1,32;76,1;131,3;99,8;60;39,8;31,5;30,7;0,8;3,86;206,4;132;74,4;115,8
01/03/2014 16:00;26,3;26,3;27,8;15,9;24,3;24,2;23,9;1,28;78,5;127,2;99,8;59,9;39,8;27,4;27,4;0;4,25;207,7;132,2;75,5;115,8
01/03/2014 17:00;26,3;26,3;27,7;15,8;23,9;24,7;23,8;1,27;78,9;126,5;99,8;60;39,8;27,5;27,5;0;4,24;203,1;126,9;76,2;115,8
01/03/2014 18:00;26;26;27,6;15,8;23,8;24;23,6;1,29;77,5;128,8;99,7;59,9;39,8;29,1;29,1;0;4,04;198,4;121,3;77,1;115,7
01/03/2014 19:00;25,9;25,9;27,4;15,8;23,7;24,1;23,5;1,28;78;127,8;99,7;59,9;39,8;28,2;28,2;0;4,15;196,3;118;78,3;115,7
01/03/2014 20:00;25,8;25,8;27,4;16;23,6;23,9;23,5;1,28;78;127,9;99,7;59,9;39,8;28,1;28,1;0;4,17;189,6;111,2;78,4;115,7
01/03/2014 21:00;26;26;27,4;16;23,6;23,4;23,6;1,27;78,6;126,9;99,7;59,9;39,8;27,2;27,2;0;4,3;189,3;108,3;81;115,7
01/03/2014 22:00;26;26;27,5;16,2;23,5;23;23,7;1,29;77,7;128,4;99,7;59,9;39,8;28,7;28,7;0;4,11;182,6;101,5;81,1;115,7
01/03/2014 23:00;26,2;26,2;27,6;16,3;23,6;22,9;23,8;1,28;77,9;128,1;99,7;59,9;39,8;28,4;28,4;0;4,13;181,6;99,5;82,1;115,7
02/03/2014 00:00;26,3;26,3;27,7;16,2;23,6;23,2;23,9;1,29;77,4;128,9;99,8;59,9;39,8;29,2;29,2;0;4,04;184,2;101,4;82,8;115,8
02/03/2014 01:00;26,3;26,3;27,7;16,3;23,6;23,2;23,9;1,28;78,1;127,8;99,8;60;39,8;28;27,2;0,8;4,29;184;101,3;82,7;115,8
02/03/2014 02:00;26,3;26,3;27,7;16,3;23,6;22,5;23,9;1,28;78,3;128,2;99,7;59,9;39,8;28,5;28,4;0;4,13;182,3;100,1;82,2;115,7
02/03/2014 03:00;26,2;26,2;27,7;16,2;23,5;22;23,9;1,27;78,7;126,9;99,8;60;39,8;27,1;27,1;0;4,31;183,7;99,1;84,6;115,8
02/03/2014 04:00;26,3;26,3;27,7;16,2;23,5;22,4;23,9;1,29;77,9;128,1;99,8;59,9;39,8;28,4;28,4;0;4,15;183,3;98,9;84,4;115,8
02/03/2014 05:00;26,3;26,3;27,7;16,3;23,6;23,5;23,9;1,28;77,9;128,2;99,8;60;39,8;28,4;28,4;0;4,14;183,7;100,4;83,3;115,8
02/03/2014 06:00;26,3;26,3;27,7;16,3;23,7;25,1;23,9;1,28;77,9;128,2;99,8;59,9;39,8;28,4;28,4;0;4,14;182,9;101,2;81,7;115,8
02/03/2014 07:00;26,4;26,4;27,8;16,4;23,8;26,4;24;1,29;77,8;128,4;99,8;59,9;39,8;29,4;29,4;0;4,03;184,3;102,5;81,8;115,8
02/03/2014 08:00;26,4;26,4;27,8;16,4;23,9;27,3;24,1;1,29;77,8;128,4;99,8;60;39,8;28,6;28,6;0;4,12;184,7;106;78,7;115,8
02/03/2014 09:00;26,4;26,4;27,9;16,1;24,1;28,7;24;1,27;78,6;127;99,8;59,9;39,8;27,2;28,1;-0,8;4,19;199,3;123,4;75,9;115,8
02/03/2014 10:00;26,4;26,4;27,8;16;23,2;31,4;23,7;1,28;78,5;127,1;99,7;59,9;39,8;27,4;28,1;-0,7;4,17;180;109,9;70,1;115,7
02/03/2014 11:00;26,3;26,3;27,8;16,2;22,8;32,4;23,4;1,32;76,2;131,1;99,7;59,9;39,8;31,4;31,4;0;3,77;165,5;97;68,5;115,7
02/03/2014 12:00;26,2;26,2;27,8;16,2;22,8;32,7;23,3;1,3;77,3;129,1;99,7;59,9;39,8;29,5;29,5;0;4;164,5;97,8;66,7;115,7
02/03/2014 13:00;26,2;26,2;27,8;16,3;22,8;31,5;23,2;1,3;77,3;129,1;99,7;59,9;39,8;29,4;29,4;0;4,01;163;100,2;62,8;115,7
02/03/2014 14:00;26,1;26,1;27,7;16,2;22,9;30,6;23,1;1,3;77;129,7;99,7;59,9;39,8;30;30;0;3,95;165,7;106,4;59,3;115,7
02/03/2014 15:00;26,1;26,1;27,6;16,2;23,2;29,9;23,3;1,31;76,2;131,1;99,7;59,9;39,8;31,4;31,4;0;3,78;175,3;119,7;55,6;115,7
02/03/2014 16:00;26,2;26,2;27,7;16,3;23,9;28,2;23,6;1,3;77,1;129,4;99,7;59,9;39,8;29,7;29,7;0;3,98;188,8;131,9;56,9;115,7
02/03/2014 17:00;26,3;26,3;27,8;16,3;24,1;26,8;23,7;1,32;76,1;131,1;99,7;59,9;39,8;31,4;31,4;0;3,76;194,4;138,7;55,7;115,7
02/03/2014 18:00;26,3;26,3;27,8;16,3;24,2;26,6;23,8;1,31;76,7;130,3;99,7;59,9;39,8;30,6;30,6;0;3,89;195,4;137,5;57,9;115,7
02/03/2014 19:00;26,3;26,3;27,8;16,3;24,2;26,7;23,8;1,32;75,7;131,9;99,7;59,9;39,8;32,2;32,2;0;3,68;195,3;140,6;54,7;115,7
02/03/2014 20:00;26,3;26,3;27,8;16,4;24,1;26,6;23,8;1,32;76,1;131,1;99,7;59,9;39,8;31,4;31,4;0;3,78;193,4;140,4;53;115,7
02/03/2014 21:00;26,3;26,3;27,8;16,3;24,1;27,4;23,8;1,32;75,8;131,7;99,7;59,9;39,8;32;32;0;3,7;193,5;140,9;52,6;115,7
02/03/2014 22:00;26,3;26,3;27,7;16,2;23,8;29,5;23,9;1,31;76,2;131;99,7;59,9;39,8;31,4;31,4;0;3,79;190;135,4;54,6;115,7
02/03/2014 23:00;26,2;26,2;27,7;16,2;23,7;29,6;23,7;1,3;77,3;129,2;99,7;59,9;39,8;29,5;29,5;0;4,02;187,7;133,4;54,3;115,7
03/03/2014 00:00;26;26;27,5;16,2;23,6;29,5;23,6;1,3;76,9;129,8;99,7;59,9;39,8;30,1;30,1;0;3,93;184,7;130;54,7;115,7
03/03/2014 01:00;26;26;27,6;16,2;23,7;30,3;23,5;1,3;77,3;129;99,7;59,9;39,8;29,3;29,3;0;4,03;184,7;131,3;53,4;115,7
03/03/2014 02:00;26;26;27,5;16,3;23,6;31;23,5;1,32;75,9;131,5;99,7;59,9;39,8;31,9;31,9;0;3,71;183,7;130,7;53;115,7
03/03/2014 03:00;26;26;27,5;16,3;23,6;31,1;23,5;1,3;77,2;129,3;99,6;59,8;39,8;29,6;29,6;0;4;182,2;129,7;52,5;115,6
03/03/2014 04:00;26;26;27,6;16,3;23,7;30,2;23,5;1,32;75,8;131,6;99,7;59,9;39,8;31,9;31,9;0;3,7;183,3;129,6;53,7;115,7
03/03/2014 05:00;25,9;25,9;27,5;16,2;23,6;29,5;23,5;1,31;76,8;129,9;99,7;59,9;39,8;30,3;30,3;0;3,91;183,3;129,9;53,4;115,7
03/03/2014 06:00;25,9;25,9;27,5;16,3;23,6;29,2;23,5;1,31;76,7;130,2;99,7;59,9;39,8;30,5;30,5;0;3,87;181;128,9;52,1;115,7
03/03/2014 07:00;25,9;25,9;27,4;16,3;23,5;29,2;23,4;1,31;76,5;130,4;99,7;59,9;39,8;30,7;30,7;0;3,86;180,7;130,4;50,3;115,7
03/03/2014 08:00;25,9;25,9;27,5;16,3;23,6;29,2;23,4;1,28;78,1;135,3;105,6;59,9;45,8;29,7;29,7;0;4,2;181,6;131,3;50,3;121,6
03/03/2014 09:00;26;26;27,5;16,3;23,6;29,5;23,5;1,27;78,9;144,7;114;59,9;54,1;30,7;30,7;0;4,35;181,7;133,4;48,3;130
03/03/2014 10:00;26,1;26,1;27,7;16,4;23,7;29,3;23,6;1,28;78,4;145,5;114;59,9;54,1;31,5;31,5;0;4,22;181,4;137,4;44;130
